0,1000
2.46493E-23,2000
4.79723E-21,3000
2.01927E-19,4000
3.67303E-18,5000
3.92989E-17,6000
2.91534E-16,7000
1.65418E-15,8000
7.64833E-15,9000
3.00894E-14,10000
1.03877E-13,11000
3.21937E-13,12000
9.11334E-13,13000
2.38824E-12,14000
5.85599E-12,15000
1.35511E-11,16000
2.98023E-11,17000
6.26551E-11,18000
1.26535E-10,19000
2.46493E-10,20000
4.64799E-10,21000
8.5096E-10,22000
1.51662E-09,23000
2.6373E-09,24000
4.48368E-09,25000
7.46565E-09,26000
1.21939E-08,27000
1.95645E-08,28000
3.08737E-08,29000
4.79723E-08,30000
7.3471E-08,31000
1.1101E-07,32000
1.65613E-07,33000
2.44141E-07,34000
3.55876E-07,35000
5.13271E-07,36000
7.32886E-07,37000
1.03658E-06,38000
1.45296E-06,39000
2.01927E-06,40000
2.78358E-06,41000
3.80763E-06,42000
5.17016E-06,43000
6.97106E-06,44000
9.33634E-06,45000
1.24241E-05,46000
1.64318E-05,47000
2.16048E-05,48000
2.82464E-05,49000
3.67303E-05,50000
4.75145E-05,51000
6.11586E-05,52000
7.8343E-05,53000
9.98925E-05,54000
0.000126803,55000
0.000160272,56000
0.000201738,57000
0.000252917,58000
0.000315857,59000
0.000392989,60000
0.000487194,61000
0.000601875,62000
0.000741039,63000
0.000909398,64000
0.001112469,65000
0.001356705,66000
0.00164963,67000
0.002,68000
0.002417978,69000
0.002915336,70000
0.003505683,71000
0.004204715,72000
0.005030502,73000
0.006003804,74000
0.007148428,75000
0.008491625,76000
0.010064531,77000
0.011902658,78000
0.014046442,79000
0.016541846,80000
0.019441035,81000
0.022803117,82000
0.026694963,83000
0.031192117,84000
0.036379788,85000
0.042353958,86000
0.049222585,87000
0.057106937,88000
0.06614305,89000
0.076483324,90000
0.088298277,91000
0.101778462,92000
0.117136559,93000
0.13460966,94000
0.154461767,95000
0.176986508,96000
0.202510094,97000
0.231394544,98000
0.264041177,99000
0.300894418,100000
